Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT4G04930.1	Dihydrosphingosine delta-4 desaturase (EC 1.14.99.-)	911754		evm_27.model.AmTr_v1.0_scaffold00009.392	Bradi5g16510.1	Ciclev10015896m	Cagra.5070s0009.1	evm.model.supercontig_27.60		Carubv10003072m	Cucsa.126580.1	orange1.1g020224m	12493	Eucgr.L02776.1, Eucgr.E03124.1	Thhalv10028789m	mrna30403.1-v1.0-hybrid	Glyma.15G072800.1, Glyma.13G240700.1	Gorai.010G153100.1, Gorai.011G026500.1	Lus10018485, Lus10011189	MDP0000415189, MDP0000180570, MDP0000688638	cassava4.1_012089m, cassava4.1_011333m	Migut.M01155.1		Medtr2g013070.1		LOC_Os02g42660.1	Phpat.023G069800.1	Potri.011G050800.1, Potri.004G041400.1	Phvul.006G187100.1	29851.m002395	Sobic.006G157100.1	Si010250m	Solyc10g009030.2.1	77748	Spipo1G0037700	PGSC0003DMP400039580	Thecc1EG025198t1, Thecc1EG029899t1		GSVIVT01002020001	GRMZM2G078373_P01
Athaliana|:|AT5G64860.1	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	496706		evm_27.model.AmTr_v1.0_scaffold00010.311	Bradi1g20790.1	Ciclev10025236m	Cagra.2438s0015.1	evm.model.supercontig_196.11	Cre03.g181500.t1.2	Carubv10026154m	Cucsa.250500.1	orange1.1g007886m	47370	Eucgr.I00325.1	Thhalv10003902m	mrna31442.1-v1.0-hybrid, mrna31443.1-v1.0-hybrid	Glyma.04G219500.1, Glyma.06G146400.1	Gorai.003G047100.1	Lus10035845, Lus10036628	MDP0000243418, MDP0000289093, MDP0000130210	cassava4.1_008552m	Migut.L00074.1		Medtr3g094840.1	44779	LOC_Os07g43390.1	Phpat.020G066300.1, Phpat.008G023500.1, Phpat.006G103300.1	Potri.007G081400.1	Phvul.009G139500.1	29719.m000333	Sobic.002G383700.1	Si029329m	Solyc04g053120.2.1	444105, 109836	Spipo2G0040200	PGSC0003DMP400028998	Thecc1EG001239t1	Vocar20008073m	GSVIVT01022223001	GRMZM2G013811_P01
Athaliana|:|AT5G54770.1	Mitochondrial DNA damage tolerance / Thiazole biosynthetic enzyme Thi4	918614		evm_27.model.AmTr_v1.0_scaffold00005.125	Bradi1g25860.1	Ciclev10024231m, Ciclev10015727m, Ciclev10008765m	Cagra.1629s0049.1	evm.model.supercontig_97.56	Cre04.g214150.t1.1	Carubv10026695m	Cucsa.059760.1	orange1.1g039605m, orange1.1g018188m, orange1.1g018414m	14398	Eucgr.F03433.1	Thhalv10013978m	mrna03187.1-v1.0-hybrid, mrna25315.1-v1.0-hybrid	Glyma.20G142000.1, Glyma.06G269700.1, Glyma.10G251500.1, Glyma.12G135000.1	Gorai.009G176400.1, Gorai.010G176000.1, Gorai.002G083700.1	Lus10007646	MDP0000626995, MDP0000206098, MDP0000549646	cassava4.1_010620m	Migut.M01288.1, Migut.M01803.1, Migut.H01554.1		Medtr1g105480.1, Medtr4g081130.1		LOC_Os07g34570.1	Phpat.023G018600.1, Phpat.024G038100.1, Phpat.023G018700.1, Phpat.020G052400.1, Phpat.020G052000.1, Phpat.023G018100.1	Potri.004G020500.1, Potri.011G025200.1, Potri.011G134900.1	Phvul.007G052900.1, Phvul.011G139100.1	28166.m001085	Sobic.003G191000.1, Sobic.002G384400.1	Si030346m, Si006473m	Solyc07g064160.2.1	271002	Spipo14G0052200	PGSC0003DMP400033461	Thecc1EG031067t1, Thecc1EG030166t1	Vocar20002101m, Vocar20001978m	GSVIVT01012636001	GRMZM2G074097_P01, GRMZM2G018375_P01
Athaliana|:|AT4G38570.1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)	490623			Bradi1g46415.1				Cre10.g419800.t1.2	Carubv10007794m		orange1.1g029413m, orange1.1g036549m, orange1.1g027414m, orange1.1g040928m	20883	Eucgr.I01421.1	Thhalv10026160m		Glyma.11G091200.1, Glyma.12G033500.1	Gorai.002G198300.1	Lus10014117			Migut.N01321.1			7533	LOC_Os02g03110.2	Phpat.004G035900.1, Phpat.003G070800.1	Potri.004G175600.1, Potri.009G135500.1	Phvul.011G036100.1	29819.m000078	Sobic.006G060000.1, Sobic.010G223300.1		Solyc08g005990.2.1	411677	Spipo25G0009900, Spipo7G0049200	PGSC0003DMP400026149	Thecc1EG006618t2	Vocar20000853m		GRMZM2G087850_P01, GRMZM2G110646_P01
Athaliana|:|AT1G68000.1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)	475923		evm_27.model.AmTr_v1.0_scaffold00101.7	Bradi5g22340.1		Cagra.7254s0013.1	evm.model.supercontig_37.130		Carubv10021013m	Cucsa.234230.1	orange1.1g026966m, orange1.1g034813m			Thhalv10019092m				Lus10019791	MDP0000273938, MDP0000163134	cassava4.1_015514m			Medtr4g073020.1		LOC_Os06g29650.1						Si007265m, Si011008m							GSVIVT01024019001	
Athaliana|:|AT3G54690.1	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	485874		evm_27.model.AmTr_v1.0_scaffold00067.30	Bradi3g04440.1	Ciclev10021043m	Cagra.1742s0051.1	evm.model.supercontig_473.3		Carubv10017483m	Cucsa.171670.1	orange1.1g019775m	11214	Eucgr.K03257.1	Thhalv10010498m	mrna08107.1-v1.0-hybrid	Glyma.19G165400.1	Gorai.001G178500.1, Gorai.007G147100.1	Lus10003549, Lus10033902	MDP0000191926, MDP0000723275	cassava4.1_011405m	Migut.O00233.1		Medtr7g097060.1		LOC_Os02g06360.1	Phpat.023G045900.1, Phpat.005G055600.1	Potri.002G037400.1, Potri.005G225700.1	Phvul.001G161500.1	29611.m000234	Sobic.004G047400.1	Si017691m	Solyc03g098140.2.1	75684	Spipo16G0052400	PGSC0003DMP400054089	Thecc1EG004002t1		GSVIVT01028350001	GRMZM2G011888_P01, GRMZM2G012143_P01
Athaliana|:|AT1G76200.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2	476772		evm_27.model.AmTr_v1.0_scaffold00001.274	Bradi1g30060.1	Ciclev10010113m	Cagra.0799s0091.1	evm.model.supercontig_222.6			Cucsa.271980.1	orange1.1g035245m	33883	Eucgr.F01733.1	Thhalv10019410m	mrna08622.1-v1.0-hybrid	Glyma.11G099500.1, Glyma.12G025500.1	Gorai.009G189100.1, Gorai.002G119300.1	Lus10034571, Lus10012279, Lus10016001	MDP0000190208	cassava4.1_020859m, cassava4.1_028734m	Migut.N03197.1		Medtr4g075160.1	29536	LOC_Os06g50970.1, LOC_Os05g03150.1	Phpat.018G005200.1, Phpat.021G074100.1	Potri.005G248600.1, Potri.002G012700.1	Phvul.011G027800.1	30170.m014328	Sobic.009G212200.1	Si007679m			Spipo4G0099600	PGSC0003DMP400017463	Thecc1EG034349t1		GSVIVT01008691001	GRMZM2G106607_P01, GRMZM2G181269_P04
Athaliana|:|AT3G47390.1	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) / Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	866068		evm_27.model.AmTr_v1.0_scaffold00001.89, evm_27.model.AmTr_v1.0_scaffold00043.91, evm_27.model.AmTr_v1.0_scaffold00043.90	Bradi3g43370.2	Ciclev10011346m	Cagra.4069s0006.1	evm.model.supercontig_39.15, evm.model.supercontig_2508.1	Cre17.g728950.t1.1	Carubv10016891m	Cucsa.356650.1, Cucsa.356660.1, Cucsa.356640.1	orange1.1g039210m	11696	Eucgr.C00113.1	Thhalv10010225m	mrna16813.1-v1.0-hybrid	Glyma.09G249800.1, Glyma.18G242600.1	Gorai.004G263000.1	Lus10036431, Lus10020208, Lus10026832, Lus10041104	MDP0000136799, MDP0000442867	cassava4.1_004171m	Migut.F02116.1		Medtr7g080117.1	35648, 35630		Phpat.015G033900.1, Phpat.021G003200.1, Phpat.019G032100.1, Phpat.009G039700.1	Potri.019G054000.1	Phvul.008G053900.1	29929.m004573	Sobic.004G144400.1	Si016643m	Solyc04g056540.2.1	413953, 102410	Spipo4G0042600	PGSC0003DMP400018604	Thecc1EG025184t1	Vocar20014743m	GSVIVT01019077001	GRMZM2G090068_P01
Athaliana|:|AT4G03280.1	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.9.1)	490231		evm_27.model.AmTr_v1.0_scaffold00072.37	Bradi1g24980.1	Ciclev10016706m	Cagra.8586s0006.1	evm.model.supercontig_34.64	Cre11.g467689.t1.1	Carubv10001870m	Cucsa.148060.1	orange1.1g027005m	46361	Eucgr.F01067.1, Eucgr.A01769.1	Thhalv10028941m	mrna01995.1-v1.0-hybrid	Glyma.13G302900.1, Glyma.12G199400.1	Gorai.005G206500.1, Gorai.005G206600.1	Lus10039739, Lus10018521	MDP0000213327, MDP0000194460, MDP0000407060, MDP0000319969	cassava4.1_015488m	Migut.M00361.1		Medtr2g089510.1	40083	LOC_Os07g37030.1	Phpat.003G139000.1, Phpat.008G008300.1	Potri.019G118500.1, Potri.013G148900.1	Phvul.005G109400.1	30225.m001694	Sobic.009G143100.1	Si017921m	Solyc12g005630.1.1	166088	Spipo0G0066500	PGSC0003DMP400024308	Thecc1EG007877t1	Vocar20004939m	GSVIVT01015713001, GSVIVT01000453001, GSVIVT01014457001	GRMZM2G038365_P01, GRMZM2G162748_P01
Athaliana|:|AT5G44480.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)	884253					Cagra.0629s0012.1			Carubv10026495m					Thhalv10000899m																									
Athaliana|:|AT1G30620.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)	869813, 890616			Bradi5g21930.2, Bradi1g58080.1	Ciclev10015404m, Ciclev10011917m	Cagra.1508s0141.1, Cagra.3346s0033.1	evm.model.supercontig_285.6	Cre09.g401022.t1.2	Carubv10023266m, Carubv10009466m	Cucsa.048560.1, Cucsa.167540.1	orange1.1g015109m, orange1.1g016208m		Eucgr.K01337.1, Eucgr.D01025.1	Thhalv10007740m	mrna24325.1-v1.0-hybrid	Glyma.08G128500.1, Glyma.09G030300.1, Glyma.05G170300.1, Glyma.15G136000.1	Gorai.010G220700.1, Gorai.010G142300.1	Lus10003496, Lus10013107	MDP0000507227, MDP0000185886, MDP0000280845	cassava4.1_008521m, cassava4.1_014649m	Migut.H01266.1, Migut.M00103.1, Migut.M01942.1				LOC_Os07g04690.1		Potri.011G156100.1, Potri.001G459700.1	Phvul.006G122600.1	29724.m000863, 29776.m000489	Sobic.002G029800.1	Si035930m, Si029946m	Solyc02g030230.2.1, Solyc02g069580.2.1, Solyc12g006410.1.1, Solyc07g043550.2.1			PGSC0003DMP400027900, PGSC0003DMP400036644, PGSC0003DMP400054690	Thecc1EG002011t1, Thecc1EG026984t1		GSVIVT01015720001, GSVIVT01021749001	GRMZM2G040397_P01, GRMZM2G000632_P01
Athaliana|:|AT4G20460.1	UDP-arabinose 4-epimerase (EC 5.1.3.5)	858605		evm_27.model.AmTr_v1.0_scaffold00155.14	Bradi3g14260.3		Cagra.4169s0016.1			Carubv10004939m					Thhalv10025334m	mrna20126.1-v1.0-hybrid		Gorai.011G006300.1	Lus10038423	MDP0000058172				Medtr8g089180.2, Medtr2g032100.1	4642	LOC_Os04g52730.1, LOC_Os08g03570.1	Phpat.014G043200.1, Phpat.017G024300.1, Phpat.001G085600.1, Phpat.002G089500.1	Potri.016G020000.1, Potri.006G022000.1	Phvul.002G251100.1		Sobic.006G217300.1, Sobic.001G400000.1	Si010226m		267212	Spipo32G0004600			Vocar20004294m		GRMZM5G830983_P02, GRMZM2G145460_P01
Athaliana|:|AT1G77120.1	Alcohol dehydrogenase (EC 1.1.1.1)	895598		evm_27.model.AmTr_v1.0_scaffold00071.65, evm_27.model.AmTr_v1.0_scaffold00071.64	Bradi4g22610.1, Bradi4g22620.1, Bradi4g22630.2	Ciclev10001382m, Ciclev10001500m, Ciclev10020607m, Ciclev10001502m	Cagra.0450s0026.1	evm.model.supercontig_8.185, evm.model.supercontig_42.139, evm.model.supercontig_278.2, evm.model.supercontig_49.68		Carubv10020473m	Cucsa.269430.1, Cucsa.079190.1, Cucsa.079160.1	orange1.1g047713m, orange1.1g016933m		Eucgr.F02744.1, Eucgr.K03599.1, Eucgr.I00224.1, Eucgr.H04952.1, Eucgr.H04950.1, Eucgr.H04951.1	Thhalv10018716m	mrna30068.1-v1.0-hybrid, mrna30069.1-v1.0-hybrid	Glyma.06G122600.1, Glyma.14G121200.1, Glyma.04G213900.1, Glyma.04G240800.1, Glyma.13G035200.1, Glyma.14G156400.1	Gorai.006G066300.1, Gorai.005G081900.1, Gorai.005G081700.1, Gorai.007G065100.1, Gorai.007G065000.1, Gorai.002G222900.1, Gorai.005G082300.1, Gorai.006G066400.1, Gorai.005G082400.1	Lus10029759, Lus10010506, Lus10042787, Lus10029757, Lus10034042	MDP0000545249, MDP0000045577, MDP0000256280, MDP0000610348, MDP0000272901, MDP0000284942, MDP0000491737, MDP0000677354, MDP0000296410, MDP0000276665, MDP0000594290, MDP0000186461, MDP0000680997, MDP0000205376	cassava4.1_013943m, cassava4.1_032422m, cassava4.1_007957m, cassava4.1_026035m, cassava4.1_009575m	Migut.C01043.1, Migut.N03241.1, Migut.N03242.1		Medtr3g089970.2, Medtr3g089940.1, Medtr3g089977.1		LOC_Os11g10520.1, LOC_Os11g10480.1, LOC_Os11g10510.1		Potri.T107300.1, Potri.005G060000.1, Potri.007G108400.1, Potri.007G108600.1, Potri.007G108700.1, Potri.T107200.1, Potri.007G108500.1, Potri.T107500.1, Potri.005G060300.1, Potri.T107400.1, Potri.002G072100.1, Potri.005G060200.1	Phvul.009G149500.1, Phvul.001G067300.1, Phvul.001G064000.1, Phvul.009G134700.1	27985.m000881, 28353.m000053, 27985.m000885	Sobic.005G103500.1, Sobic.005G103300.1, Sobic.001G097600.1	Si026503m, Si026504m	Solyc04g064710.2.1, Solyc06g059740.2.1	236309	Spipo4G0091600, Spipo4G0091700, Spipo16G0042500, Spipo4G0092200, Spipo1G0018000, Spipo4G0092400, Spipo4G0092000, Spipo4G0092500, Spipo9G0046300, Spipo4G0091800	PGSC0003DMP400053597, PGSC0003DMP400043072	Thecc1EG001447t1, Thecc1EG035427t1, Thecc1EG035433t1, Thecc1EG001445t1, Thecc1EG003038t1, Thecc1EG035437t1		GSVIVT01026507001, GSVIVT01010027001, GSVIVT01026510001, GSVIVT01010024001, GSVIVT01026508001, GSVIVT01026505001	GRMZM2G098346_P01, GRMZM2G442658_P06
Athaliana|:|AT4G24830.1	Argininosuccinate synthase (EC 6.3.4.5)	914101		evm_27.model.AmTr_v1.0_scaffold00088.82	Bradi4g01920.1, Bradi2g26460.2	Ciclev10019860m	Cagra.2197s0025.1	evm.model.supercontig_111.34	Cre09.g416050.t1.2	Carubv10004661m	Cucsa.391990.1, Cucsa.157430.1, Cucsa.392010.1	orange1.1g011097m	54950	Eucgr.K02738.1	Thhalv10025000m	mrna09887.1-v1.0-hybrid, mrna11807.1-v1.0-hybrid, mrna06367.1-v1.0-hybrid	Glyma.08G043400.1, Glyma.05G046700.1, Glyma.05G046900.1, Glyma.17G128600.1, Glyma.05G236000.1	Gorai.001G059900.1	Lus10013207, Lus10012800, Lus10033978, Lus10030725	MDP0000239467, MDP0000196436, MDP0000887858, MDP0000390993	cassava4.1_006286m	Migut.N00934.1, Migut.D00060.1		Medtr3g088970.1, Medtr3g088940.1, Medtr4g103680.1, Medtr5g042880.1	19853	LOC_Os12g13320.1, LOC_Os11g19770.1	Phpat.012G014400.1, Phpat.001G134100.1	Potri.008G020200.1, Potri.010G239000.1	Phvul.003G209800.1	46851.m000019, 29839.m000427, 29171.m000266	Sobic.008G083400.1	Si021906m	Solyc05g012270.2.1	82070, 405683	Spipo7G0051300	PGSC0003DMP400049228	Thecc1EG014608t1	Vocar20005531m	GSVIVT01008510001	GRMZM2G010406_P01
Athaliana|:|AT1G09780.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) / 2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	471079			Bradi1g63510.2		Cagra.4395s0162.1			Carubv10008742m			66530, 35522		Thhalv10007256m			Gorai.011G138400.1		MDP0000287753	cassava4.1_004743m			Medtr7g074570.1		LOC_Os05g40420.1	Phpat.010G058100.1, Phpat.017G010600.1	Potri.016G142900.1						98756	Spipo22G0022500			Vocar20002863m		GRMZM2G050077_P01
Athaliana|:|AT3G08590.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) / 2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	478159		evm_27.model.AmTr_v1.0_scaffold00077.211	Bradi2g53340.3	Ciclev10011402m	Cagra.2991s0033.1	evm.model.supercontig_9.169	Cre06.g272050.t1.2	Carubv10013289m	Cucsa.336430.1	orange1.1g008774m		Eucgr.A00868.1, Eucgr.A00869.1, Eucgr.K01314.1	Thhalv10020418m	mrna13620.1-v1.0-hybrid	Glyma.18G219100.1, Glyma.09G270500.1	Gorai.005G012900.1, Gorai.005G125000.1	Lus10026370, Lus10031309, Lus10031877	MDP0000240039, MDP0000741412, MDP0000122917, MDP0000184761, MDP0000158995	cassava4.1_004733m	Migut.H01273.1			33106	LOC_Os03g21260.1, LOC_Os01g60190.2	Phpat.025G003800.1	Potri.006G113300.1	Phvul.008G077900.1	30073.m002196	Sobic.001G384100.1, Sobic.003G336000.1	Si000789m, Si034948m, Si017267m	Solyc07g044840.2.1			PGSC0003DMP400001780	Thecc1EG019934t1, Thecc1EG016784t1	Vocar20005811m	GSVIVT01029842001	GRMZM2G003385_P02, GRMZM5G833389_P02
Athaliana|:|AT1G51720.1	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	474290		evm_27.model.AmTr_v1.0_scaffold00036.154	Bradi2g41130.1	Ciclev10025274m	Cagra.15243s0004.1	evm.model.supercontig_131.30, evm.model.supercontig_131.31		Carubv10010869m	Cucsa.341350.1	orange1.1g006655m	42482	Eucgr.J02887.1	Thhalv10011312m	mrna23112.1-v1.0-hybrid	Glyma.07G012500.1, Glyma.16G203700.1, Glyma.08G196200.1, Glyma.09G152800.1	Gorai.011G067700.1	Lus10006872, Lus10037612	MDP0000330267, MDP0000231769	cassava4.1_003494m	Migut.D00978.1		Medtr8g015600.1		LOC_Os01g37760.1	Phpat.014G087300.1, Phpat.001G147700.1, Phpat.002G018600.1	Potri.001G199600.1, Potri.001G193600.1	Phvul.010G141900.1, Phvul.010G142000.1	30146.m003425	Sobic.003G188400.1	Si000614m	Solyc01g068210.2.1	151019, 267064, 90033	Spipo14G0013200	PGSC0003DMP400012078	Thecc1EG028995t1		GSVIVT01016891001	GRMZM2G015289_P02
Athaliana|:|AT5G03770.1	Lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) [often with (EC 2.4.99.13) also]	325028		evm_27.model.AmTr_v1.0_scaffold00040.270	Bradi2g55417.1	Ciclev10013092m, Ciclev10032390m	Cagra.0154s0027.1	evm.model.supercontig_5.99	Cre13.g583100.t1.1	Carubv10000940m	Cucsa.039090.1	orange1.1g043830m		Eucgr.A01566.1	Thhalv10013569m	mrna30104.1-v1.0-hybrid	Glyma.10G065300.1, Glyma.13G150200.1	Gorai.009G409200.1	Lus10033622, Lus10017662, Lus10017664	MDP0000133066	cassava4.1_007754m	Migut.J00495.1		Medtr1g061560.1		LOC_Os01g63840.1	Phpat.021G027300.1	Potri.016G095900.1	Phvul.007G224100.1	29815.m000507	Sobic.003G362000.1	Si001596m	Solyc10g083710.1.1	76719	Spipo23G0009400	PGSC0003DMP400048959	Thecc1EG022399t1		GSVIVT01033751001	GRMZM2G138888_P01
Athaliana|:|AT2G32040.1	10-Formyltetrahydrofolate transport / 5-Formyltetrahydrofolate transport / 5-Methylenetetrahydrofolate transport / 5-Methylenyltetrahydrofolate transport / 5-Methyltetrahydrofolate transport / Tetrahydrofolate transport	482133		evm_27.model.AmTr_v1.0_scaffold00004.2	Bradi1g56020.1, Bradi1g05630.1	Ciclev10004656m	Cagra.1626s0052.1	evm.model.supercontig_1119.2	Cre01.g007737.t1.1	Carubv10022920m	Cucsa.239420.1, Cucsa.254400.1	orange1.1g008417m	38018, 16147	Eucgr.L00392.1, Eucgr.B01079.1	Thhalv10016461m	mrna06163.1-v1.0-hybrid	Glyma.20G147000.1, Glyma.10G247100.1	Gorai.011G165800.1, Gorai.006G240100.1	Lus10010565, Lus10006106	MDP0000816260, MDP0000320198	cassava4.1_004880m	Migut.G00349.1, Migut.N00194.1		Medtr1g103530.1	12682	LOC_Os03g58080.1, LOC_Os07g07654.1	Phpat.022G007100.1, Phpat.019G014600.1, Phpat.010G009500.1	Potri.010G085900.1	Phvul.007G058300.1	29844.m003269	Sobic.002G048700.1, Sobic.001G058600.1	Si034917m, Si029517m	Solyc06g054120.1.1, Solyc09g082200.2.1	91871	Spipo2G0014900	PGSC0003DMP400028499, PGSC0003DMP400028491, PGSC0003DMP400055455	Thecc1EG020648t1	Vocar20001170m	GSVIVT01017999001	GRMZM2G073429_P01, GRMZM2G027603_P01, GRMZM2G469469_P01
Athaliana|:|AT2G26540.1	Uroporphyrinogen-III synthase (EC 4.2.1.75)	481514		evm_27.model.AmTr_v1.0_scaffold00123.1	Bradi1g72180.2	Ciclev10001965m	Cagra.3413s0001.1, Cagra.22079s0001.1	evm.model.supercontig_64.2	Cre09.g409100.t1.2	Carubv10014293m, Carubv10023687m	Cucsa.232640.1	orange1.1g022128m	37532	Eucgr.F02370.1	Thhalv10001252m		Glyma.04G037000.1, Glyma.06G037300.1	Gorai.009G209500.1	Lus10032769, Lus10021755	MDP0000194288, MDP0000276939, MDP0000200456, MDP0000294849	cassava4.1_031984m, cassava4.1_017765m	Migut.N02692.1, Migut.O00512.1, Migut.C00604.1		Medtr3g101350.1	5668	LOC_Os03g08730.1	Phpat.009G070200.1	Potri.014G034700.1	Phvul.009G063100.1	30170.m013921, 39173.m000011	Sobic.001G478600.1	Si036841m, Si036733m	Solyc04g079320.2.1	403066	Spipo2G0046300		Thecc1EG033898t2	Vocar20004102m	GSVIVT01009559001	AC209626.2_FGP013, GRMZM2G093197_P01
Athaliana|:|AT1G03600.1	Photosystem II protein Psb27	470332		evm_27.model.AmTr_v1.0_scaffold00003.300	Bradi1g63300.1	Ciclev10016927m	Cagra.0897s0022.1	evm.model.supercontig_1227.1	Cre05.g243800.t1.2	Carubv10010460m	Cucsa.147810.1		61150	Eucgr.K00947.1	Thhalv10008901m	mrna10292.1-v1.0-hybrid	Glyma.12G202500.1, Glyma.13G299200.1	Gorai.002G017600.1, Gorai.008G152600.1	Lus10037438	MDP0000906067, MDP0000899206	cassava4.1_017598m	Migut.H01055.1		Medtr2g090200.1	33201	LOC_Os03g21560.1	Phpat.009G098000.1	Potri.002G056300.1, Potri.005G206200.1	Phvul.005G105900.1	30128.m008596	Sobic.001G382100.1	Si038607m	Solyc07g054290.1.1	77713	Spipo0G0061700	PGSC0003DMP400031997	Thecc1EG008025t1	Vocar20013830m	GSVIVT01030552001	GRMZM2G056424_P01, GRMZM2G005984_P01
Athaliana|:|AT1G78590.1	NADH kinase (EC 2.7.1.86)	477023		evm_27.model.AmTr_v1.0_scaffold00021.290	Bradi4g28380.1	Ciclev10021233m	Cagra.1361s0005.1	evm.model.supercontig_77.63		Carubv10020673m	Cucsa.273630.1	orange1.1g021432m		Eucgr.F03233.1, Eucgr.F01368.1	Thhalv10018897m	mrna27340.1-v1.0-hybrid	Glyma.13G264900.1, Glyma.12G234000.1	Gorai.002G047000.1	Lus10010749, Lus10000204, Lus10035645	MDP0000312055, MDP0000051852	cassava4.1_021426m	Migut.M00692.1		Medtr2g073350.1	34253	LOC_Os09g17680.1	Phpat.014G092500.1	Potri.T085300.1, Potri.011G104400.1	Phvul.005G076600.1	28304.m000176	Sobic.002G176800.1	Si030683m	Solyc07g062150.2.1	107884	Spipo13G0032400	PGSC0003DMP400012523	Thecc1EG032114t1		GSVIVT01014095001	GRMZM2G006678_P01
Athaliana|:|ATCG00510.1	photosystem I subunit VIII (PsaI)	894032			Bradi2g20993.1, Bradi2g13085.1, Bradi1g39207.1, Bradi3g27328.1				Cre03.g165100.t1.2								Glyma.10G208900.1, Glyma.15G003800.1, Glyma.17G173700.1	Gorai.004G112900.1, Gorai.012G112500.1, Gorai.004G118500.1														Si020835m, Si020880m	Solyc01g007350.2.1, Solyc07g024040.1.1		Spipo2G0109700, Spipo0G0179700			Vocar20011394m	GSVIVT01030618001	GRMZM2G509747_P01
Athaliana|:|AT2G40890.1	5-O-(4-coumaroyl)-D-quinate/shikimate 3'-hydroxylase (EC 1.14.13.36)	903389		evm_27.model.AmTr_v1.0_scaffold00040.62, evm_27.model.AmTr_v1.0_scaffold00101.79	Bradi2g21300.1	Ciclev10000848m, Ciclev10019813m, Ciclev10011520m	Cagra.1642s0055.1	evm.model.supercontig_92.62		Carubv10023039m	Cucsa.337610.1	orange1.1g036917m, orange1.1g020970m, orange1.1g010704m		Eucgr.G03199.1, Eucgr.A02185.1, Eucgr.A02190.1, Eucgr.A02188.1	Thhalv10017706m, Thhalv10016538m	mrna25986.1-v1.0-hybrid, mrna27914.1-v1.0-hybrid	Glyma.19G126000.1, Glyma.03G122000.1	Gorai.002G230900.1, Gorai.013G000900.1	Lus10020847, Lus10020849, Lus10033524, Lus10020850	MDP0000303059, MDP0000466557, MDP0000287029, MDP0000297862, MDP0000836708, MDP0000178164, MDP0000563553, MDP0000296018, MDP0000279706, MDP0000302012, MDP0000533607, MDP0000428573, MDP0000169560	cassava4.1_005910m	Migut.N01865.1, Migut.N01863.1, Migut.J01620.1, Migut.N01864.1, Migut.N01866.1, Migut.O00792.1, Migut.J01619.1				LOC_Os10g12080.1, LOC_Os05g41440.1	Phpat.022G067700.1	Potri.006G033300.1, Potri.016G031100.1, Potri.016G031000.1	Phvul.001G117900.1	30147.m014117, 29940.m000401, 29940.m000400	Sobic.009G181800.1, Sobic.003G327800.1	Si021789m	Solyc10g078220.1.1, Solyc10g078230.1.1, Solyc01g096670.2.1, Solyc10g078240.1.1, Solyc01g009370.1.1	271465	Spipo6G0031900	PGSC0003DMP400025956, PGSC0003DMP400012731, PGSC0003DMP400012729, PGSC0003DMP400012728, PGSC0003DMP400005902, PGSC0003DMP400025953, PGSC0003DMP400012730	Thecc1EG023882t1		GSVIVT01025800001	GRMZM2G473244_P01, GRMZM2G510303_P01, GRMZM2G015118_P01, GRMZM2G138074_P01, GRMZM2G140817_P01
